10.2.54 p667  10.2.56 p702
10.3.36 p676  10.3.40 p711
10.3.38 p676  10.3.42 p712
10.3.54 p677  10.3.58 p713
10.3.68 p678  10.3.74 p713
10.4.2 p689  10.4.2 p724
10.4.12 p690  10.4.12 p725
10.4.14 p690  10.4.14 p725
10.1.4 p650  10.1.4 p683
10.2.22 p665  10.2.22 p700
10.2.23 p666  10.2.23 p700
10.2.24 p666  10.2.24 p700
10.5.16-17 p704  10.5.16-17 p740
10.1.7 p650  10.1.7 p683
10.5.18 p704  10.5.18 p740
10.5.20 p704  10.5.20 p740
10.5.26 p705  10.5.26 p740
10.4.33 p691  10.4.33 p726
10.4.14 p690  10.4.14 p725
10.5.6 p704  10.5.6 p739
10.7.2 p725  10.7.2 p760
10.7.6 p725  10.7.6 p760
10.7.8 p725  10.7.8 p760
10.2.24 p666  10.2.24 p700
10.3.2 p675  10.3.2 p710
10.7.24 p726  10.7.24 p761
10.3.44 p676  10.3.48 p712
10.5.28 p705  10.5.28 p740
10.2.59 p667  10.2.61 p702
